,OBJECTID,NAME,NAME_AR,STOP_NUMBER,longitude,latitude
2312,280375,Hamdan Ibn Zayed Al Awwal St 125 / Al Khrais Roundabout West,شارع حمدان بن زايد الأول 125 / دوار الخريس (غرب),91417,55.75060388899999,24.246469999999988
2313,280376,Khalifa Ibn Zayed St 135 / Al Maqam Club,شارع خليفة بن زايد 135 / نادي المقام,93012,55.61133000000001,24.17662805499998
2314,280377,St 21 / Souq,شارع 21 / سوق,22296,54.757301111000004,24.67119805499999
2315,280378,Al Yeef Farm 5,مزارع اليف 5,65318,53.75636694399998,23.156288888999995
2316,280379,Hamdan St / Emirates Tower,شارع حمدان /  برج الامارات,525,54.37052805600001,24.494776944000023
2317,280380,Stop 1155,موقف 1155,1155,54.42811805600002,24.53639694399999
2318,280381,Saif Ghobash St  / Ministry of Interior,شارع سيف غباش / وزارة الداخلية,2483,54.465313056000014,24.414041111000017
2319,280382,St 14 / Red Crescent,شارع 14 / هيئة الهلال الاحمر,40452,54.63120888899999,24.303533888000004
2320,280383,Service road / Al Masood Workshop,شارع خدمة / ورشة المسعود,48302,55.64425194500001,24.071834998999975
2321,280384,Farm,مزرعة,55001,55.49518111100002,23.90034000000003
2322,280385,Stop 16250,موقف 16250,16250,54.600163054999996,24.431293055000026
2323,280386,Al Hyali E90 / Farms,اللهيالي ش 90 / مزارع,60878,53.853909999999985,23.124058889000025
2324,280387,St 32 / Halima Al Saadia Center For Girls,شارع 32 / مركز حليمة السعدية للبنات,10082,54.53544111100001,24.321143888999984
2325,280388,St 18 / St 27,شارع 18 / شارع 27,40520,54.70889694499999,24.25599805500002
2326,280389,St 33 / St 50,شارع 33 / شارع 50,15024,54.61100388800003,24.354203055000028
2327,280390,Harmiya Rd - Harmiya 3,طريق الهرمية - الهرمية 3,77121,53.381759999999986,24.108483888000023
2328,280391,Mansoor Bin Zayed Mosque,مسجد الشيخ منصور بن  زايد,480,54.44372499999997,24.440266943999973
